"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B4> FLASH - Bayer annonce le rachat de Monsanto pour 66 milliards de dollars <ed><U+00A0><U+00BD><ed><U+00B2><U+00B8><ed><U+00A0><U+00BD><ed><U+00B2><U+00B8> &gt;&gt; https://t.co/HGbP0MLFSJ https://t.co/K3hJMh6nwe";FALSE;12;NA;2016-09-14 11:45:31;FALSE;NA;"776024071431675905";NA;"<a href=""https://secure.echoboxapp.com"" rel=""nofollow"">Echobox Social</a>";"Le_Figaro";45;FALSE;FALSE;NA;NA
"J'évoquais hier la situation d'#Alstom sur @BFMTV : https://t.co/EllPaUQNHG";FALSE;53;NA;2016-09-14 08:35:11;FALSE;NA;"775976172521938944";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"f_philippot";49;FALSE;FALSE;NA;NA
"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B4> FLASH - Trois ans de prison ferme requis contre l'ex-ministre Jérôme Cahuzac &gt;&gt; https://t.co/8yiNpXq1W7 https://t.co/i0tU62HtoQ";FALSE;32;NA;2016-09-14 11:20:48;FALSE;NA;"776017854852435968";NA;"<a href=""https://secure.echoboxapp.com"" rel=""nofollow"">Echobox Social</a>";"Le_Figaro";66;FALSE;FALSE;NA;NA
"C'est le Varning from Montreal Festival qui commence le 22 septembre prochain. Ne ratez pas ça! https://t.co/8jlTsHg0lV";FALSE;0;NA;2016-09-14 15:30:59;FALSE;NA;"776080813821534208";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"DureRealite";0;FALSE;FALSE;NA;NA
"Il se chauffe au @panameartcafe https://t.co/0FxhzeZOXZ @NomanHosni";FALSE;0;NA;2016-09-14 15:30:58;FALSE;NA;"776080809711300608";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"Lapageondar";0;FALSE;FALSE;NA;NA
"Une invention GÉNIALE ! https://t.co/PTQoT8fOjp";FALSE;0;NA;2016-09-14 15:30:55;FALSE;NA;"776080798327844864";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"project_yoo";0;FALSE;FALSE;NA;NA
"Bon après-midi à tous.

Vrai ou Faux ? https://t.co/lvnc1OsaIT";FALSE;0;NA;2016-09-14 15:30:55;FALSE;NA;"776080796444684288";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"TigoRDC";0;FALSE;FALSE;NA;NA
"un nouveau projet devrait bientôt arriver ;) https://t.co/xhKp9PDb6C";FALSE;0;NA;2016-09-14 15:30:52;FALSE;NA;"776080786298724353";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"nico_icecream";0;FALSE;FALSE;NA;NA
"Tenter de sortir de nouveaux commandements qui ne sont pas dans le Coran est une mentalité idolâtre (de... https://t.co/gTjw8hCNq2";FALSE;0;NA;2016-09-14 15:30:52;FALSE;NA;"776080785447288832";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"burak_bey";0;FALSE;FALSE;NA;NA
"RT @Rhiihannon: La meuf 
sur facebook elle s appelle Carine
sur twitter; corine
sur instagram; marie
Nous on t appelle pute FIn";FALSE;0;NA;2016-09-14 15:30:52;FALSE;NA;"776080784524476418";NA;"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>";"EloBcm";1;TRUE;FALSE;NA;NA
"RT @AlainJGodbout: Suivez @sweetonarts en direct sur https://t.co/PJFrOBK06I  pour Juste la fin du monde #TIFF16 https://t.co/a3SYduIg8V";FALSE;0;NA;2016-09-14 15:30:52;FALSE;NA;"776080784335708162";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"sweetonarts";6;TRUE;FALSE;NA;NA
"RT @20Minutes: <ed><U+00A0><U+00BD><ed><U+00B4><U+00B4> [ALERTE] Un troisième mineur, soupçonné de préparer un acte terroriste, interpellé https://t.co/eXcUkceWEJ https://t.co/7Q…";FALSE;0;NA;2016-09-14 15:30:51;FALSE;NA;"776080779285766144";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"MyriamDarabie";38;TRUE;FALSE;NA;NA
"CERCLE DE VOYAGEURS 13/9/2016 BRUXELLES

GENTE DA RODA DE CHORO DE BRUXELLES OBRIGADO! 
PEDRO MOURA/ cavaquinho... https://t.co/zJQvNIxsIn";FALSE;0;NA;2016-09-14 15:30:50;FALSE;NA;"776080776265957382";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"pmourampb";0;FALSE;FALSE;NA;NA
"RT @AlainJGodbout: Toujours en direct sur https://t.co/PJFrOBK06I avec @sweetonarts &amp; Gaspar Ulliel au #TIFF16 https://t.co/LbTS3jaEhL";FALSE;0;NA;2016-09-14 15:30:48;FALSE;NA;"776080766774177793";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"sweetonarts";4;TRUE;FALSE;NA;NA
"Ryback booké en Indy

La Wrestle Pro a booké Ryback pour ses shows du 14 et 15 Octobre 2016.

Pat Buck/Ryback vs... https://t.co/k9zPZNH4TT";FALSE;0;NA;2016-09-14 15:30:47;FALSE;NA;"776080763116724224";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"WrestlingNewsFR";0;FALSE;FALSE;NA;NA
"Je suis A la recherche d'un sponsor pour ma page officiel sur facebook.
#Milly_Gang_officiel

Je… https://t.co/2IKgJ3CnoF";FALSE;0;NA;2016-09-14 15:30:45;FALSE;NA;"776080756867145728";NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"GangMilly";0;FALSE;FALSE;NA;NA
"Les Gagnants du Jeu-&gt;https://t.co/czDEZF0d7w
<ed><U+00A0><U+00BC><ed><U+00BE><U+0081> La bonne réponse était des Souris ! <ed><U+00A0><U+00BC><ed><U+00BE><U+0081>
#Jeu #JeuConcours #madloto https://t.co/HlBVIDt38d";FALSE;0;NA;2016-09-14 15:30:44;FALSE;NA;"776080751620136960";NA;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>";"MadLoto";0;FALSE;FALSE;NA;NA
"Les Gagnants du Jeu -&gt; https://t.co/ryLHcA9XlX
<ed><U+00A0><U+00BC><ed><U+00BE><U+0081> La bonne réponse était des Souris ! <ed><U+00A0><U+00BC><ed><U+00BE><U+0081>
#Jeu #JeuConcours #mafiainc https://t.co/NnQ7iPWqSy";FALSE;0;NA;2016-09-14 15:30:44;FALSE;NA;"776080749493620736";NA;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>";"MafiaInc_FR";0;FALSE;FALSE;NA;NA
"Les Gagnants du Jeu -&gt; https://t.co/A67C9afaNs
<ed><U+00A0><U+00BC><ed><U+00BE><U+0081> La bonne réponse était des Souris ! <ed><U+00A0><U+00BC><ed><U+00BE><U+0081>
#Jeu #JeuConcours #quoverbis https://t.co/HKA1siCboe";FALSE;0;NA;2016-09-14 15:30:44;FALSE;NA;"776080749145497600";NA;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>";"QuoVerbis";0;FALSE;FALSE;NA;NA
"Les Gagnants du Jeu-&gt; https://t.co/EFfv6hgDfJ
<ed><U+00A0><U+00BC><ed><U+00BE><U+0081> La bonne réponse était des Souris ! <ed><U+00A0><U+00BC><ed><U+00BE><U+0081>
#Jeu #JeuConcours #cadovillage https://t.co/cuH73VzNpP";FALSE;0;NA;2016-09-14 15:30:44;FALSE;NA;"776080748797390849";NA;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>";"CadoVillage";0;FALSE;FALSE;NA;NA
"<ed><U+00A0><U+00BC><ed><U+00BE><U+0081> La bonne réponse était des Souris ! <ed><U+00A0><U+00BC><ed><U+00BE><U+0081>
https://t.co/ZsIeuIGPTa
#Jeu #JeuConcours #madwin https://t.co/CjVM6vcjNN";FALSE;0;NA;2016-09-14 15:30:43;FALSE;NA;"776080747820089344";NA;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>";"DreamCentury";0;FALSE;FALSE;NA;NA
"Les Gagnants du Jeu -&gt; https://t.co/fTo3A2CU92
<ed><U+00A0><U+00BC><ed><U+00BE><U+0081> La bonne réponse était des Souris ! <ed><U+00A0><U+00BC><ed><U+00BE><U+0081>
#Jeu #JeuConcours #madwin https://t.co/gsdQ1hIK7Y";FALSE;0;NA;2016-09-14 15:30:43;FALSE;NA;"776080745542606848";NA;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>";"MadWin_FR";0;FALSE;FALSE;NA;NA
"STOP TTIP // J-6 Ce mardi 20 septembre à 17h, des milliers de citoyens seront dans les rues de Bruxelles.... https://t.co/FUawShBbDD";FALSE;0;NA;2016-09-14 15:30:43;FALSE;NA;"776080744976384001";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"Mich_ka";0;FALSE;FALSE;NA;NA
"RT @AlainJGodbout: Nathalie Baye avec @sweetonarts au #TIFF16 en direct sur https://t.co/PJFrOBK06I https://t.co/CoRyUQqSXQ";FALSE;0;NA;2016-09-14 15:30:42;FALSE;NA;"776080744183627776";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"sweetonarts";2;TRUE;FALSE;NA;NA
